index,Hour,"['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_1","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_2","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_3","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_4","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_5","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_6","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_7",Holiday,is_kul_holiday,LC_TEMP_QCL3,LC_RAININ,LC_DAILYRAIN,LC_WINDSPEED,heavy,car,bike,pedestrian
3833,17,False,False,False,True,False,False,False,0,False,21.26752466361272,0.0,5.5555555555555565e-05,0.3157253086419753,18.0709931875,153.6034420939,434.9946217282,30.9788454643
3865,1,False,False,False,False,False,True,False,0,False,16.196841729449343,0.0,0.0,0.0176543209876543,0.0,0.0,0.0,0.0
3781,13,False,True,False,False,False,False,False,0,False,15.537516222495864,0.0022808641975308,0.0012469135802469,0.0410648148148148,20.6525636429,246.5399784869,339.4765148799,12.9078522768
3923,11,True,False,False,False,False,False,False,0,False,17.61226077757308,0.0,0.0,0.4799074074074074,26.8085106383,209.3617021277,259.1489361702,8.9361702128
3757,13,True,False,False,False,False,False,False,1,False,17.751519409701086,3.08641975308642e-06,0.0001296296296296,0.7623302469135803,11.4975159688,143.0801987225,327.0404542229,21.7175301632
3830,14,False,False,False,True,False,False,False,0,False,19.26925057782815,0.0,4.629629629629629e-05,0.5799537037037037,47.5390156062,162.7851140456,314.0456182473,18.7274909964
3753,9,True,False,False,False,False,False,False,1,False,15.322523828191814,0.0,0.0001111111111111,0.5968055555555556,22.0605132133,130.9842972041,113.0601302183,11.0302566067
3687,15,False,False,False,False,True,False,False,0,False,23.4526111210574,0.0,0.0,0.1935802469135802,16.6904422254,193.8659058488,499.4293865906,17.9743223966
3690,18,False,False,False,False,True,False,False,0,False,23.435672351276587,0.0,0.0,0.2699691358024691,12.8479657388,161.8843683084,298.0728051392,7.7087794433
3837,21,False,False,False,True,False,False,False,0,False,17.83838500854955,0.0,6.481481481481482e-05,0.0560339506172839,0.0,0.0,0.0,0.0
3675,3,False,False,False,False,True,False,False,0,False,11.920243002636235,0.0,0.0,0.0217746913580246,16.2162162162,24.3243243243,56.7567567568,0.0
3646,22,False,False,True,False,False,False,False,0,False,12.778181551888332,0.0,2.7777777777777782e-05,0.0237808641975308,0.0,0.0,0.0,0.0
3873,9,False,False,False,False,False,True,False,0,False,17.225211198866557,4.6296296296296296e-06,0.0,0.2038734567901234,12.7861089187,258.5635359116,254.3014996054,9.9447513812
3639,15,False,False,True,False,False,False,False,0,False,16.263497340468923,2.006172839506173e-05,2.469135802469136e-05,0.4412037037037036,15.8273381295,164.0287769784,407.1942446043,18.7050359712
3722,2,False,False,False,False,False,False,True,1,False,17.545075377819582,4.1666666666666665e-05,0.0046327160493827,0.0240895061728395,0.0,0.0,0.0,0.0
3834,18,False,False,False,True,False,False,False,0,False,21.03939300653332,0.0,5.5555555555555565e-05,0.3183796296296296,11.6504854369,144.9838187702,305.501618123,16.8284789644
