Hour,"['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_1","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_2","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_3","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_4","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_5","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_6","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_7",Holiday,is_kul_holiday,LC_TEMP_QCL3,LC_RAININ,LC_DAILYRAIN,LC_WINDSPEED
22,True,False,False,False,False,False,False,0,True,12.287731195352004,9.25925925925926e-06,3.703703703703704e-05,0.0876543209876543
1,False,False,False,False,False,False,True,0,False,8.65129450790013,5.10204081632653e-05,0.0008877551020408,1.423265306122449
5,False,False,False,True,False,False,False,0,False,18.45084301337743,0.0,0.0,0.0564043209876543
6,False,True,False,False,False,False,False,0,False,8.857571255211456,0.0,3.061224489795919e-05,0.019625850340136
4,False,False,True,False,False,False,False,0,False,17.056385132272187,3.395061728395062e-05,8.333333333333333e-05,0.0145987654320987
4,False,True,False,False,False,False,False,1,False,4.947075169753086,6.481481481481482e-05,0.001537037037037,0.0309567901234567
7,False,False,False,False,True,False,False,0,False,13.86660444200756,0.0002314814814814,0.0001203703703703,0.0052314814814814
18,False,True,False,False,False,False,False,0,False,10.96244713908549,5.102040816326531e-06,3.061224489795919e-05,0.2213435374149659
0,False,True,False,False,False,False,False,0,True,3.780215817901235,2.7777777777777782e-05,0.0034537037037037,0.2993364197530864
3,False,True,False,False,False,False,False,0,False,8.889866724667844,2.006172839506173e-05,0.0005138888888888,0.0861882716049382
6,False,False,True,False,False,False,False,0,False,11.197773249404332,0.0,0.0,0.0153395061728395
9,False,True,False,False,False,False,False,0,True,3.8980008839315534,0.0001666666666666,6.462585034013606e-05,0.5511394557823129
15,False,False,True,False,False,False,False,1,False,8.792483714506172,2.7777777777777782e-05,0.0035925925925925,0.3902006172839506
11,True,False,False,False,False,False,False,0,True,-0.3760541914137617,5.102040816326531e-06,7.993197278911565e-05,0.1195918367346939
16,False,True,False,False,False,False,False,0,False,22.32266007092592,0.0002515432098765,0.0002314814814814,0.6430092592592593
9,False,False,False,False,True,False,False,0,False,9.347838211419754,0.0002793209876543,0.0014598765432098,0.0058487654320987
9,False,False,False,False,False,True,False,0,True,6.816644636150839,9.25925925925926e-06,3.703703703703704e-05,0.4322376543209876
3,False,False,False,False,False,True,False,0,False,8.233307399691357,0.001645061728395,0.0024552469135802,0.0881018518518518
22,False,False,False,False,True,False,False,0,False,7.853843801654967,0.0,0.0022959183673469,1.9033673469387755
23,False,False,False,True,False,False,False,0,False,9.23224571920463,0.0,0.0001574074074074,0.0316666666666666
19,False,False,True,False,False,False,False,0,True,14.500549099678317,9.25925925925926e-06,9.25925925925926e-05,0.0864197530864197
10,False,False,False,False,True,False,False,0,True,6.936123680555556,2.3148148148148147e-05,0.0020277777777777,0.7325
7,False,False,True,False,False,False,False,0,False,17.16375390837121,2.7777777777777782e-05,8.333333333333333e-05,0.1014043209876543
0,False,False,False,False,False,True,False,0,True,3.675045946431511,1.870748299319728e-05,0.0038639455782312,0.3825340136054422
23,False,False,False,False,False,False,True,0,False,2.178151878873727,0.0,5.10204081632653e-05,0.0606462585034013
18,False,True,False,False,False,False,False,0,False,17.00015861513319,9.25925925925926e-06,1.851851851851852e-05,0.355216049382716
7,True,False,False,False,False,False,False,0,True,3.167762471854036,9.25925925925926e-06,0.0,0.4675771604938272
21,False,False,False,False,False,True,False,1,True,8.541588813271604,2.1604938271604937e-05,0.0075,0.0615277777777777
5,False,False,True,False,False,False,False,0,False,4.602973308346141,0.0,3.061224489795919e-05,0.1504591836734694
8,True,False,False,False,False,False,False,0,False,6.76723905242045,0.0,0.0028673469387755,1.5832142857142857
7,False,False,False,False,True,False,False,0,False,2.8023794781000464,0.0,3.061224489795919e-05,0.0001700680272108
1,False,False,True,False,False,False,False,0,False,8.480376523148148,9.25925925925926e-06,0.0016512345679012,0.5456018518518518
2,False,False,False,False,False,True,False,0,False,4.696669439814815,2.469135802469136e-05,0.0016481481481481,0.0670987654320987
17,True,False,False,False,False,False,False,0,False,25.15878946056047,0.0,5.5555555555555565e-05,0.348641975308642
3,False,False,False,False,False,False,True,0,False,6.7969597808641975,9.25925925925926e-06,0.0014907407407407,0.4619753086419753
10,False,False,False,False,False,False,True,0,False,4.245264644290123,1.3888888888888891e-05,0.0002222222222222,0.0204629629629629
14,False,False,True,False,False,False,False,0,False,20.302182882841763,0.0,0.0001296296296296,0.3152777777777777
0,False,False,False,True,False,False,False,0,False,4.631269821778733,3.4013605442176872e-06,0.0020459183673469,0.2052891156462585
21,False,False,False,True,False,False,False,0,False,23.458683166386194,0.0,0.0,0.5161111111111111
7,False,False,False,False,False,True,False,0,False,4.726148176028605,0.0,3.061224489795919e-05,0.1463265306122449
16,False,False,False,False,False,True,False,0,False,3.0705629305555555,9.25925925925926e-06,0.0014537037037037,0.2679783950617284
4,False,False,False,False,False,False,True,0,False,13.189650261921436,2.3148148148148147e-05,0.0,0.0055246913580246
17,False,False,False,False,True,False,False,0,False,22.59173805779205,0.0,0.0,0.4256018518518519
3,False,False,False,True,False,False,False,0,True,4.133485577404024,0.0,9.183673469387756e-05,0.0179931972789115
4,False,False,False,True,False,False,False,0,False,20.640168021878,0.0,0.0,0.0160339506172839
