month,day,hour,description,lamax,laeq
12,15,20,MP 04: His & Hears,58.02455555555555,56.12763888888889
12,15,20,MP 05: Calvariekapel KU Leuven,55.805638888888886,53.667027777777776
12,15,20,MP 06: Parkstraat 2 La Filosovia,55.85119444444444,53.960361111111105
12,15,20,MP 07: Naamsestraat 81,53.63986111111111,52.00475
12,15,20,MP08bis - Vrijthof,43.991527777777776,42.634388888888886
12,15,21,MP 01: Naamsestraat 35  Maxim,55.43991666666667,53.34238888888889
12,15,21,MP 02: Naamsestraat 57 Xior,55.33872222222222,53.34861111111111
12,15,21,MP 03: Naamsestraat 62 Taste,56.04211111111111,54.27408333333334
12,15,21,MP 04: His & Hears,57.39527777777778,55.43597222222222
12,15,21,MP 05: Calvariekapel KU Leuven,55.58711111111111,53.34516666666667
12,15,21,MP 06: Parkstraat 2 La Filosovia,55.37025,53.36275
12,15,21,MP 07: Naamsestraat 81,53.70180555555555,51.88755555555556
12,15,21,MP08bis - Vrijthof,44.204027777777775,42.92272222222222
12,15,22,MP 01: Naamsestraat 35  Maxim,56.37869444444444,54.16008333333333
12,15,22,MP 02: Naamsestraat 57 Xior,56.465777777777774,54.355
12,15,22,MP 03: Naamsestraat 62 Taste,56.145583333333335,54.29666666666667
12,15,22,MP 04: His & Hears,58.68727777777778,56.51738888888889
12,15,22,MP 05: Calvariekapel KU Leuven,55.384861111111114,53.102333333333334
12,15,22,MP 06: Parkstraat 2 La Filosovia,54.62130555555556,52.63886111111111
12,15,22,MP 07: Naamsestraat 81,52.600138888888885,50.91013888888889
12,15,22,MP08bis - Vrijthof,44.48152777777778,43.22613888888889
12,15,23,MP 01: Naamsestraat 35  Maxim,55.61975,53.460750000000004
12,15,23,MP 02: Naamsestraat 57 Xior,53.684305555555554,51.43744444444444
12,15,23,MP 03: Naamsestraat 62 Taste,58.59133333333333,55.57966666666666
12,15,23,MP 04: His & Hears,55.72430555555555,53.51605555555555
12,15,23,MP 05: Calvariekapel KU Leuven,54.407111111111114,51.780249999999995
12,15,23,MP 06: Parkstraat 2 La Filosovia,54.059472222222226,51.664722222222224
12,15,23,MP 07: Naamsestraat 81,51.16108333333333,49.34469444444444
12,15,23,MP08bis - Vrijthof,43.96391666666667,42.57391666666667
12,16,0,MP 01: Naamsestraat 35  Maxim,57.175333333333334,54.91619444444444
