month,day,description,lamax,laeq
2,4,MP 06: Parkstraat 2 La Filosovia,53.47958541186819,51.611786016041854
2,4,MP 07: Naamsestraat 81,52.175741898148146,50.75222569444444
2,5,MP 03: Naamsestraat 62 Taste,53.25530555555556,51.55339814814814
2,5,MP 05: Calvariekapel KU Leuven,51.207699430529196,49.168657113755266
2,5,MP 06: Parkstraat 2 La Filosovia,50.33704976851851,48.273572916666666
2,5,MP 07: Naamsestraat 81,48.559090277777784,47.05276967592592
2,6,MP 03: Naamsestraat 62 Taste,52.64308271111883,51.11484169705388
2,6,MP 05: Calvariekapel KU Leuven,50.93592824074074,49.25555902777778
2,6,MP 06: Parkstraat 2 La Filosovia,49.66896260373384,47.95594509195708
2,6,MP 07: Naamsestraat 81,49.52260648148148,48.03797685185185
2,7,MP 03: Naamsestraat 62 Taste,53.180166685959016,51.603770112281516
2,7,MP 05: Calvariekapel KU Leuven,50.63852662037037,48.91150925925926
2,7,MP 06: Parkstraat 2 La Filosovia,49.974853009259256,48.228144675925925
2,7,MP 07: Naamsestraat 81,49.29997916666667,47.88602893518519
2,8,MP 03: Naamsestraat 62 Taste,53.655820494716004,52.179097843575285
2,8,MP 05: Calvariekapel KU Leuven,51.3336805676123,49.58737919140711
2,8,MP 06: Parkstraat 2 La Filosovia,50.76533796296297,49.00121990740741
2,8,MP 07: Naamsestraat 81,50.06572797666586,48.57400604187646
2,9,MP 03: Naamsestraat 62 Taste,53.10511953690304,51.523739507959476
2,9,MP 05: Calvariekapel KU Leuven,50.90142478500909,48.945650991330915
2,9,MP 06: Parkstraat 2 La Filosovia,50.79196180555556,48.758127314814814
2,9,MP 07: Naamsestraat 81,50.09394090209378,48.40559497216403
2,10,MP 03: Naamsestraat 62 Taste,54.09843842244782,52.63488256334865
2,10,MP 05: Calvariekapel KU Leuven,52.22984722222222,50.513863425925926
2,10,MP 06: Parkstraat 2 La Filosovia,52.134451388888884,50.40428009259259
2,10,MP 07: Naamsestraat 81,51.58358449074074,50.19837962962963
2,11,MP 03: Naamsestraat 62 Taste,54.21367019737223,52.64633096023615
2,11,MP 05: Calvariekapel KU Leuven,52.69141656732138,50.86329818632159
2,11,MP 06: Parkstraat 2 La Filosovia,51.83793865740741,50.03912731481481
2,11,MP 07: Naamsestraat 81,51.5250775462963,49.97285763888889
2,12,MP 03: Naamsestraat 62 Taste,53.06495414756149,51.325598629058405
2,12,MP 05: Calvariekapel KU Leuven,50.43319830090626,48.227911202675955
2,12,MP 06: Parkstraat 2 La Filosovia,49.772842278267106,47.685622518779155
2,12,MP 07: Naamsestraat 81,48.01576273148148,46.61138425925926
2,13,MP 03: Naamsestraat 62 Taste,51.89862847222222,50.198166666666665
